EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG12172	ECK1089	hinT	ycfF	purine nucleoside phosphoramidase, dadA activator protein	1787346	P0ACE7	b1103
EG12173	ECK3321	gspM	hopZ, pshM	general secretory pathway component, cryptic	87082245	P36678	b3334
EG12174	ECK1353	ydaG	gatA	UBA-like domain protein, Rac prophage	87081887	P76061	b1355
EG12176	ECK4129	yjdC	cutA3	putative transcriptional regulator	87082374	P0ACU7	b4135
EG12177	ECK4131	cutA	cutA1, cycY	divalent-cation tolerance protein, copper sensitivity	; 1790579	P69488	b4137
EG12178	ECK4130	dsbD	cutA2, cycZ, dipZ, htrI	thiol:disulfide interchange protein and activator of DsbC	; 1790578	P36655	b4136
EG12179	ECK0616	cspE	gicA, msmC	constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein	; 1786841	P0A972	b0623
EG12180	ECK0615	pagP	crcA, ybeG	phospholipid:lipid A palmitoyltransferase	; 1786840	P37001	b0622
EG12181	ECK1650	grxD	ydhD	glutaredoxin-4	1787943	P0AC69	b1654
EG12182	ECK0428	yajG	None	putative lipoprotein	87081739	P0ADA5	b0434
EG12183	ECK0427	ampG	None	muropeptide transporter	; 1786636	P0AE16	b0433
EG12184	ECK3025	nudF	adpP, aspP, rdsA, trgB(R.s.), yqiE, yzzG	ADP-ribose pyrophosphatase	; 1789412	Q93K97	b3034
EG12185	ECK3024	yqiB	yzzH	DUF1249 protein YqiB	1789411	P0ADU7	b3033
EG12186	ECK3022	yqiA	yzzI	acyl CoA esterase	1789409	P0A8Z7	b3031
EG12187	ECK3023	cpdA	icc	3',5' cAMP phosphodiesterase	; 1789410	P0AEW4	b3032
EG12188	ECK2825	ptsP	ygdF, ygdO	PEP-protein phosphotransferase enzyme I; GAF domain containing protein	; 1789193	P37177	b2829
EG12189	ECK2431	hemF	popB, sec	coproporphyrinogen III oxidase	; 1788777	P36553	b2436
EG12190	ECK2432	eutR	yfeG	eut operon transcriptional activator, AraC family	1788778	P36547	b2437
EG12191	ECK0444	glnK	ybaI	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	; 1786655	P0AC55	b0450
EG12192	ECK2611	nadK	yfjB, yfjE	NAD kinase	; 1788968	P0A7B3	b2615
EG12193	ECK0991	cbpA	None	DnaK co-chaperone; curved DNA-binding protein	; 1787235	P36659	b1000
EG12194	ECK0990	cbpM	yccD	modulator of CbpA co-chaperone	1787234	P63264	b0999
EG12195	ECK0989	torD	None	TorA-maturation chaperone	; 1787232	P36662	b0998
EG12196	ECK0992	yccE	None	PRK09784 family protein	1787236	P36661	b1001
EG12197	ECK0675	seqA	hsm-1	negative modulator of initiation of replication	; 1786903	P0AFY8	b0687
EG12198	ECK1731	chbG	celG, ydjC	chito-oligosaccharide deacetylase	1788028	P37794	b1733
EG12200	ECK2063	yegD	None	Hsp70 chaperone family protein	87082035	P36928	b2069
EG12201	ECK2665	ygaC	None	uncharacterized protein	1789026	P0AD53	b2671
EG12202	ECK4236	treR	None	trehalose 6-phosphate-inducible trehalose regulon transcriptional repressor	; 1790689	P36673	b4241
EG12203	ECK1551	cspB	None	Qin prophage; cold shock protein	; 1787839	P36995	b1557
EG12204	ECK1821	cspC	msmB	stress protein, member of the CspA-family	; 1788126	P0A9Y6	b1823
EG12205	ECK1552	cspF	None	Qin prophage; cold shock protein	1787840	P0A976	b1558
EG12207	ECK1820	rlmA	rrmA, yebH	23S rRNA m(1)G745 methyltransferase, SAM-dependent	; 1788125	P36999	b1822
EG12209	ECK0617	flc	crcB, fluC, ybeI	fluoride efflux channel, dual topology membrane protein	; 1786842	P37002	b0624
EG12210	ECK3610	waaF	rfaF	ADP-heptose:LPS heptosyltransferase II	; 1790050	P37692	b3620
EG12211	ECK3443	panM	livL, panZ, yhhK	PanD autocleavage accelerator, panothenate synthesis	; 1789869	P37613	b3459
EG12212	ECK3450	yhhL	None	DUF1145 family protein	1789876	P37614	b3466
EG12213	ECK3451	yhhM	None	DUF2500 family protein	1789877	P37615	b3467
EG12214	ECK3452	yhhN	None	TMEM86 family putative inner membrane protein	1789878	P0ADI9	b3468
EG12215	ECK3453	zntA	yhhO	zinc, cobalt and lead efflux system	; 1789879	P37617	b3469
EG12216	ECK3454	tusA	sirA, yhhP	mnm(5)-s(2)U34-tRNA 2-thiolation sulfurtransferase	; 1789881	P0A890	b3470
EG12217	ECK3455	yhhQ	None	DUF165 family inner membrane protein	1789882	P37619	b3471
EG12218	ECK3456	dcrB	yhhR	putative lipoprotein	; 87082269	P0AEE1	b3472
EG12219	ECK3457	yhhS	None	putative arabinose efflux transporter	87082270	P37621	b3473
EG12220	ECK3458	yhhT	None	UPF0118 family putative transporter	87082271	P0AGM0	b3474
EG12221	ECK3459	acpT	yhhU	4'-phosphopantetheinyl transferase	; 1789886	P37623	b3475
EG12223	ECK3471	rbbA	yhiG, yhiH	ribosome-associated ATPase: ATP-binding protein/ATP-binding membrane protein	48994943	P37624	b3486
EG12224	ECK3472	yhiI	None	putative membrane fusion protein (MFP) of efflux pump	1789900	P37626	b3487
EG12225	ECK3473	yhiJ	None	DUF4049 family protein	1789902	P37627	b3488
EG12227	ECK3475	yhiL'	yhiK	pseudogene, DUF4049 family protein	87082275	P37629	b4660
EG12228	ECK3476	yhiM	None	acid resistance protein, inner membrane	87082276	P37630	b3491
EG12229	ECK3477	yhiN	None	putative oxidoreductase	2367234	P37631	b3492
EG12230	ECK3478	pitA	pit	phosphate transporter, low-affinity; tellurite importer	; 1789907	P0AFJ7	b3493
EG12231	ECK3479	uspB	yhiO	universal stress (ethanol tolerance) protein B	; 1789908	P0A8S5	b3494
EG12232	ECK3481	dtpB	yhiP	dipeptide and tripeptide permease B	1789911	P36837	b3496
EG12233	ECK3482	rsmJ	yhiQ	16S rRNA m(2)G1516 methyltransferase, SAM-dependent	1789912	P68567	b3497
EG12234	ECK3484	rlmJ	yhiR	23S rRNA m(6)A2030 methyltransferase, SAM-dependent	1789914	P37634	b3499
EG12235	ECK3486	arsR	arsE	arsenical resistance operon transcriptional repressor; autorepressor	; 1789916	P37309	b3501
EG12236	ECK3487	arsB	arsF	arsenite/antimonite transporter	; 87082277	P0AB93	b3502
EG12237	ECK3488	arsC	arsG	arsenate reductase	; 1789918	P0AB96	b3503
EG12238	ECK3489	yhiS'	None	pseudogene	1789920	P37635	b3504
EG12240	ECK3497	mdtE	yhiU	anaerobic multidrug efflux transporter, ArcA-regulated	; 1789929	P37636	b3513
EG12241	ECK3498	mdtF	yhiV	anaerobic multidrug efflux transporter, ArcA-regulated	; 1789930	P37637	b3514
EG12242	ECK3499	gadW	yhiW	transcriptional activator of gadA and gadBC; repressor of gadX	; 1789932	P63201	b3515
EG12243	ECK3501	gadX	yhiX	acid resistance regulon transcriptional activator; autoactivator	; 1789933	P37639	b3516
EG12244	ECK3503	yhjA	None	putative cytochrome C peroxidase	1789935	P37197	b3518
EG12245	ECK3504	treF	None	cytoplasmic trehalase	; 1789936	P62601	b3519
EG12246	ECK3505	yhjB	None	putative DNA-binding transcriptional response regulator	1789937	P37640	b3520
EG12247	ECK3506	yhjC	None	LysR family putative transcriptional regulator	1789938	P37641	b3521
EG12248	ECK3507	yhjD	None	inner membrane putative BrbK family alternate lipid exporter	1789939	P37642	b3522
EG12249	ECK3508	yhjE	None	putative MFS transporter; membrane protein	1789941	P37643	b3523
EG12251	ECK3509	yhjG	yhjF	putative inner membrane-anchored periplasmic AsmA family protein	2367236	P37645	b3524
EG12252	ECK3510	yhjH	None	cyclic-di-GMP phosphodiesterase, FlhDC-regulated	87082280	P37646	b3525
EG12253	ECK3511	kdgK	yhjI	2-dehydro-3-deoxygluconokinase	; 87082281	P37647	b3526
EG12254	ECK3512	yhjJ	None	putative periplasmic M16 family chaperone	1789946	P37648	b3527
EG12256	ECK3514	yhjK	None	cyclic-di-GMP phosphodiesterase	87082282	P37649	b3529
EG12257	ECK3515	bcsC	yhjL	cellulose synthase subunit	87082283	P37650	b3530
EG12258	ECK3516	bcsZ	bcsC, yhjM	endo-1,4-D-glucanase	1789951	P37651	b3531
EG12259	ECK3517	bcsB	yhjN	regulator of cellulose synthase, cyclic di-GMP binding	1789952	P37652	b3532
EG12260	ECK3518	bcsA	yhjO, yhjP	cellulose synthase, catalytic subunit	87082284	P37653	b3533
EG12261	ECK3519	bcsQ'	yhjQ	involved in cellulose production, minD superfamily (pseudogene)	1789955	P37655	b3534
EG12262	ECK3520	yhjR	None	DUF2629 family protein	1789956	P0ADJ3	b3535
EG12263	ECK3521	bcsE	yhjS	cellulose production protein	1789958	P37657	b3536
EG12264	ECK3522	bcsF	yhjT	DUF2636 family cellulose production small membrane protein	87082285	P0ADJ5	b3537
EG12265	ECK3523	bcsG	yhjU	DUF3260 family cellulose production inner membrane protein	1789960	P37659	b3538
EG12266	ECK3526	yhjV	None	putative transporter	1789961	P37660	b3539
EG12267	ECK3533	eptB	pagC(S.t.), yhjW	KDO phosphoethanolamine transferase, Ca(2+)-inducible	87082286	P37661	b3546
EG12268	ECK3534	yhjX	oxlT(O.f.)	pyruvate-inducible inner membrane protein, putative transporter	1789969	P37662	b3547
EG12269	ECK3535	yhjY	None	autotransporter beta-domain protein	87082287	P37663	b3548
EG12270	ECK3537	yiaC	None	GNAT family putative N-acetyltransferase	1789972	P37664	b3550
EG12271	ECK3539	yiaD	None	multicopy suppressor of bamB; outer membrane lipoprotein	48994946	P37665	b3552
EG12272	ECK3540	ghrB	tkrA, yiaE	glyoxylate/hydroxypyruvate reductase B	87082289	P37666	b3553
EG12273	ECK3541	yiaF	None	barrier effect co-colonization resistance factor; DUF3053 family lipoprotein	87082290	P0ADK0	b3554
EG12274	ECK3550	wecH	yiaH	O-acetyltransferase for enterobacterial common antigen (ECA)	1789984	P37669	b3561
EG12275	ECK3556	xylG	None	D-xylose ABC transporter dual domain ATPase	; 1789991	P37388	b3567
EG12276	ECK3557	xylH	None	D-xylose ABC transporter permease	; 1789992	P0AGI4	b3568
EG12278	ECK3563	yiaJ	None	transcriptional repressor for the yiaKLMNO-lyxK-sgbHUE operon	1789999	P37671	b3574
EG12279	ECK3564	yiaK	None	2,3-diketo-L-gulonate reductase, NADH-dependent	1790000	P37672	b3575
EG12280	ECK3565	yiaL	None	DUF386 family protein	1790001	P37673	b3576
EG12281	ECK3566	yiaM	None	2,3-diketo-L-gulonate TRAP transporter small permease protein	1790002	P37674	b3577
EG12282	ECK3567	yiaN	None	2,3-diketo-L-gulonate TRAP transporter large permease protein	48994950	P37675	b3578
EG12283	ECK3568	yiaO	None	2,3-diketo-L-gulonate-binding periplasmic protein	1790004	P37676	b3579
EG12284	ECK3569	lyxK	lyx, xylK, yiaP	L-xylulose kinase	; 1790005	P37677	b3580
EG12285	ECK3570	sgbH	yiaQ	3-keto-L-gulonate 6-phosphate decarboxylase	1790006	P37678	b3581
EG12286	ECK3571	sgbU	yiaR	putative L-xylulose 5-phosphate 3-epimerase	; 87082294	P37679	b3582
EG12287	ECK3572	sgbE	yiaS	L-ribulose-5-phosphate 4-epimerase	; 1790008	P37680	b3583
EG12288	ECK3573	yiaT	None	putative outer membrane protein	1790010	P37681	b3584
EG12289	ECK3574	yiaU	None	putative DNA-binding transcriptional regulator	1790011	P37682	b3585
EG12290	ECK3575	yiaV	None	signal-anchored membrane fusion protein (MFP) component of efflux pump 	1790012	P37683	b3586
EG12291	ECK3576	yiaW	None	DUF3302 family inner membrane protein	1790013	P0ADK4	b3587
EG12292	ECK3577	aldB	yiaX	aldehyde dehydrogenase B	; 87082295	P37685	b3588
EG12293	ECK3578	yiaY	None	L-threonine dehydrogenase	48994951	P37686	b3589
EG12294	ECK3600	grxC	yibM	glutaredoxin 3	; 1790039	P0AC62	b3610
EG12295	ECK3601	yibN	None	putative rhodanese-related sulfurtransferase	1790040	P0AG27	b3611
EG12296	ECK3602	gpmM	gpmC, gpmI, pgmI, yibO	phosphoglycero mutase III, cofactor-independent	1790041	P37689	b3612
EG12297	ECK3603	envC	slm11, yibP	activator of AmiB,C murein hydrolases, septal ring factor	; 87082297	P37690	b3613
EG12298	ECK3604	yibQ	None	putative polysaccharide deacetylase	87082298	P37691	b3614
EG12301	ECK1004	rutR	ycdC	rut operon transcriptional repressor for 	; 1787249	P0ACU2	b1013
EG12302	ECK1084	tmk	ycfG	thymidylate kinase	; 1787340	P0A720	b1098
EG12303	ECK1086	ycfH	None	putative DNase	1787342	P0AFQ7	b1100
EG12304	ECK1286	sapD	trkE	antimicrobial peptide ABC transporter ATPase	; 1787548	P0AAH4	b1291
EG12305	ECK1285	sapF	None	antimicrobial peptide ABC transporter ATPase	; 1787547	P0AAH8	b1290
EG12306	ECK0952	yccF	None	DUF307 family inner membrane protein	1787195	P0AB12	b0961
EG12307	ECK0954	mgsA	mgs, yccG	methylglyoxal synthase	; 87081809	P0A731	b0963
EG12308	ECK2559	yfhH	None	putative DNA-binding transcriptional regulator	87082130	P37767	b2561
EG12309	ECK4395	yjtD	lasT	putative methyltransferase	1790865	P37005	b4403
EG12310	ECK2520	pepB	yfhI	aminopeptidase B	87082123	P37095	b2523
EG12311	ECK2521	iscX	yfhJ	Fe(2+) donor and activity modulator for cysteine desulfurase	1788873	P0C0L9	b2524
EG12312	ECK0103	coaE	yacE	dephospho-CoA kinase	; 1786292	P0A6I9	b0103
EG12313	ECK0102	zapD	yacF	FtsZ stabilizer	; 1786291	P36680	b0102
EG12314	ECK0101	yacG	None	DNA gyrase inhibitor	; 1786290	P0A8H8	b0101
EG12315	ECK0116	yacH	None	DUF3300 family protein	1786308	P36682	b0117
EG12316	ECK0117	acnB	yacI, yacJ	aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase	; 2367097	P36683	b0118
EG12318	ECK0122	cueO	cuiD(S.t.), yacK	multicopper oxidase (laccase)	; 1786314	P36649	b0123
EG12319	ECK0125	can	yadF	carbonic anhydrase	; 1786318	P61517	b0126
EG12320	ECK0126	yadG	None	putative ABC transporter ATPase	1786319	P36879	b0127
EG12321	ECK0127	yadH	None	putative ABC transporter permease	1786320	P0AFN6	b0128
EG12322	ECK0128	yadI	agaX	putative PTS Enzyme IIA	1786321	P36881	b0129
EG12323	ECK2236	yfaD	None	transposase_31 family protein	1788577	P37014	b2244
EG12325	ECK0135	yadK	None	putative fimbrial-like adhesin protein	1786329	P37016	b0136
EG12326	ECK0136	yadL	None	putative fimbrial-like adhesin protein	1786330	P37017	b0137
EG12327	ECK0137	yadM	None	putative fimbrial-like adhesin protein	87081690	P37018	b0138
EG12328	ECK0140	yadN	None	putative fimbrial-like adhesin protein	1786334	P37050	b0141
EG12329	ECK0147	hrpB	yadO	putative ATP-dependent helicase	; 87081693	P37024	b0148
EG12330	ECK0146	ligT	yadP	2'-5' RNA ligase	; 87081692	P37025	b0147
EG12331	ECK0154	clcA	eriC, yadQ	H(+)/Cl(-) exchange transporter	; 1786350	P37019	b0155
EG12332	ECK0155	erpA	yadR	iron-sulfur cluster insertion protein	1786351	P0ACC3	b0156
EG12333	ECK0156	yadS	None	UPF0126 family inner membrane protein	1786352	P0AFP0	b0157
EG12334	ECK0157	btuF	yadT	vitamin B12 ABC transporter periplasmic binding protein	; 1786353	P37028	b0158
EG12335	ECK0161	cdaR	sdaR, yaeG	carbohydrate diacid regulon transcriptional regulator; autoregulator	; 87081694	P37047	b0162
EG12336	ECK0162	yaeH	None	UPF0325 family protein	1786359	P62768	b0163
EG12337	ECK0163	yaeI	None	phosphodiesterase with model substrate bis-pNPP	87081695	P37049	b0164
EG12338	ECK0268	yagA	None	CP4-6 prophage; putative DNA-binding transcriptional regulator	1786462	P37007	b0267
EG12339	ECK0267	yagB'	None	pseudogene, CP4-6 prophage	87081711	P37008	b0266
EG12340	ECK0264	afuC	fbpC, yagC	CP4-6 prophage; putative ferric transporter subunit	87081709	P37009	b0262
EG12341	ECK2570	rseA	mclA, yfiJ	anti-sigma factor	; 1788925	P0AFX7	b2572
EG12342	ECK4377	yjjJ	None	putative protein kinase	1790845	P39410	b4385
EG12343	ECK4383	ettA	yjjK	energy-dependent translational throttle A	2367384	P0A9W3	b4391
EG12344	ECK1298	pspF	ycjB	psp operon transcriptional activator	; 87081872	P37344	b1303
EG12345	ECK1532	ydfG	None	NADP-dependent 3-hydroxy acid dehydrogenase; malonic semialdehyde reductase	1787820	P39831	b1539
EG12346	ECK3544	hokA	yiaZ	toxic polypeptide, small	48994947	P37305	b4455
EG12347	ECK1916	yecC	None	putative ABC transporter ATPase	1788225	P37774	b1917
EG12348	ECK4435	xisD'	ybcB	pseudogene, exisionase in defective prophage DLP12	Null	Null	b4633
EG12349	ECK0531	exoD'	ybcC	pseudogene, DLP12 prophage; phage-type exonuclease family	1786750	P75717	b0539
EG12350	ECK0532	peaD'	ybcD	pseudogene; DLP12 prophage; replication protein family	87081754	P77528	b4508
EG12351	ECK0533	renD'	ybcE	pseudogene, DLP12 prophage	87081755	P75718	b0542
EG12352	ECK3767	ppiC	parvA	peptidyl-prolyl cis-trans isomerase C (rotamase C)	; 1790211	P0A9L5	b3775
EG12353	ECK3803	yifL	None	putative lipoprotein	87082333	P0ADN6	b4558
EG12354	ECK0191	arfB	yaeJ	alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached	1786389	P40711	b0191
EG12356	ECK3408	rtcR	yhgB	sigma 54-dependent transcriptional regulator of rtcBA expression	; 1789828	P38035	b3422
EG12357	ECK1699	fadK	ydiD	short chain acyl-CoA synthetase, anaerobic	; 1787993	P38135	b1701
EG12358	ECK0924	ssuB	ycbE	aliphatic sulfonate ABC transporter ATPase	1787164	P0AAI1	b0933
EG12359	ECK0708	ybgD	None	putative fimbrial-like adhesin protein	1786938	P37909	b0719
EG12360	ECK2228	yfaE	None	ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance	1788568	P0ABW3	b2236
EG12361	ECK2840	kduD	ygeC, yqeD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase; KDG oxidoreductase; 20-ketosteroid reductase	1789208	P37769	b2842
EG12362	ECK2259	menF	yfbA	isochorismate synthase 2	; 87082077	P38051	b2265
EG12363	ECK3034	ygiL	None	putative fimbrial-like adhesin protein	1789422	P39834	b3043
EG12364	ECK4264	intB'	int(P4), yjgC	pseudogene, integrase homology	1790722	P39347	b4271
EG12365	ECK3343	prkB	prk?, yhfF	putative phosphoribulokinase	2367214	P0AEX5	b3355
EG12366	ECK2941	rsmE	yggJ	16S rRNA m(3)U1498 methyltransferase, SAM-dependent	87082186	P0AGL7	b2946
EG12367	ECK0567	cusA	silA(S.t.), ybdE	copper/silver efflux system, membrane component	; 1786788	P38054	b0575
EG12368	ECK1860	znuB	yebI	zinc ABC transporter permease	; 1788166	P39832	b1859
EG12369	ECK1767	ydjE	None	putative MFS sugar transporter, membrane protein	1788068	P38055	b1769
EG12370	ECK1126	intE	int(Lambda), ycfI	e14 prophage; putative integrase	1787386	P75969	b1140
EG12371	ECK3151	nlpI	yhbM	lipoprotein involved in osmotic sensitivity and filamentation	; 1789554	P0AFB1	b3163
EG12372	ECK2793	ygdG	exo, xni	Ssb-binding protein, misidentified as ExoIX	; 1789162	P38506	b2798
EG12373	ECK2790	ygdH	None	UPF0717 family protein	1789159	P0ADR8	b2795
EG12374	ECK3350	yhfG	vhpA(B.s.)	putative antitoxin for Fic	1789762	P0ADX5	b3362
EG12375	ECK0904	ycaI	None	ComEC family inner membrane protein	87081801	P37443	b0913
EG12376	ECK2404	yfeH	None	putative inorganic ion transporter	1788749	P39836	b2410
EG12378	ECK1868	yecD	None	isochorismatase family protein	87081992	P0ADI7	b1867
EG12379	ECK1869	yecE	None	UPF0759 family protein	1788175	P37348	b1868
EG12380	ECK3402	gntT	gntM, gntTalpha, usgA, yhgC	gluconate transporter, high-affinity GNT I system	; 48994935	P39835	b3415
EG12381	ECK2670	nrdF	ygaD	ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein	; 1789031	P37146	b2676
EG12382	ECK4134	fxsA	yjeG	suppressor of F exclusion of phage T7	; 87082376	P37147	b4140
EG12384	ECK0514	ybcF	arcC(P.a.)	putative carbonate kinase	1786732	P37306	b0521
EG12385	ECK2209	rcsD	yojN, yojP, yojQ	phosphotransfer intermediate protein in two-component regulatory system with RcsBC	1788545	P39838	b2216
EG12386	ECK2658	csiR	gabC, ygaE	transcriptional repressor of csiD	; 87082149	P37338	b2664
EG12387	ECK2654	lhgO	ygaF	L-2-hydroxyglutarate oxidase	87082148	P37339	b2660
EG12388	ECK0527	sfmF	fimF(S.t.), ybcG	FimA homolog, function unknown	1786746	P38052	b0534
EG12389	ECK4302	nanC	yjhA	N-acetylnuraminic acid outer membrane channel protein	87082420	P69856	b4311
EG12390	ECK4436	ybfI'	None	pseudogene	Null	P39901	b4636
EG12391	ECK1703	ydiE	None	hemin uptake protein HemP homolog	1787998	P0ACX9	b1705
EG12392	ECK1194	dauA	ychM	C4-dicarboxylic acid transporter	87081859	P0AFR2	b1206
EG12393	ECK3053	ttdT	ygjC, ygjE	L-tartrate/succinate antiporte	1789444	P39414	b3063
EG12394	ECK1776	msrB	yeaA	methionine sulfoxide reductase B	; 1788077	P0A746	b1778
EG12395	ECK0724	ybgE	None	putative inner membrane protein in cydABX-ybgE operon	1786956	P0AAV0	b0735
EG12396	ECK2061	yegE	None	putative diguanylate cyclase	; 1788381	P38097	b2067
EG12397	ECK0935	ycbF	None	putative periplasmic pilin chaperone	87081806	P40876	b0944
EG12399	ECK1186	dhaM	dhaH, ptsD, ycgC	putative dihydroxyacetone-specific PTS enzymes: HPr, EI components	87081856	P37349	b1198
EG12400	ECK1659	mdtK	norE, norM, ydhE	multidrug efflux system transporter	48994890	P37340	b1663
EG12401	ECK2513	rlmN	yfgB	dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent	1788865	P36979	b2517
EG12402	ECK1211	chaB	None	cation transport regulator	; 1787469	P0AE63	b1217
EG12403	ECK1212	chaC	None	cation transport regulator	; 1787470	P39163	b1218
EG12404	ECK1213	ychN	None	putative sulfur relay protein	1787471	P0AB52	b1219
EG12405	ECK1214	ychO	ychP	putative invasin	1787472	P39165	b1220
